length, sigma, noise
1.42739,0.878075,0.000864921
1.42739,0.878075,0.000864921
1.42739,0.878075,0.000864921
1.42739,0.878075,0.000864921
1.42739,0.878075,0.000864921
1.42739,0.878075,0.000864921
1.42739,0.878075,0.000864921
1.42739,0.878075,0.000864921
12.0065,0.115641,0.000510289
34.3336,0.853497,0.000637657
295.524,0.663964,0.00069487
390.946,0.912409,0.000622727
338.915,0.375665,0.000865423
66.6228,0.143911,0.000172606
56.3714,0.659091,0.000127062
325.826,0.725411,0.000233762
928.603,0.923349,0.000891073
989.977,0.846526,0.000764632
849.693,0.735056,0.000363312
881.908,0.179699,0.000930072
907.332,0.26526,0.000813706
582.59,0.389177,0.000233362
837.22,0.00256645,0.000822589
95.9648,0.485801,3.30218e-06
