top_performer, avg_parent, avg_total
-46638.1,-77728,-388936
-11100.9,-43074.5,-325361
-11100.9,-27063.7,-302520
-11100.9,-17135.3,-373143
-11100.9,-12202.6,-562772
-11100.9,-11147.6,-217150
-11100.9,-11130.9,-256063
-186.427,-8378.31,-281357
-186.427,-3864.15,-415694
495.722,-71.5998,-207985
660.752,438.114,-230568
660.752,571.239,-308221
660.752,633.346,-239925
660.752,649.936,-404794
660.752,658.368,-450360
660.752,660.49,-218841
660.752,660.701,-273160
660.752,660.734,-282095
660.752,660.751,-347410
660.752,660.752,-235644
660.752,660.752,-184805
660.752,660.752,-318789
660.752,660.752,-257722
660.752,660.752,-325757
660.752,660.752,-749025
660.752,660.752,-324421
660.752,660.752,-222195
660.752,660.752,-209398
660.752,660.752,-261521
660.752,660.752,-373656
660.752,660.752,-417271
660.752,660.752,-221678
660.752,660.752,-627728
660.752,660.752,-263649
660.752,660.752,-325049
660.752,660.752,-250589
660.752,660.752,-169879
660.752,660.752,-449328
660.752,660.752,-316736
660.752,660.752,-204830
660.752,660.752,-535890
660.752,660.752,-239248
660.752,660.752,-190047
660.752,660.752,-1.04107e+06
660.752,660.752,-346541
660.752,660.752,-207876
660.752,660.752,-170449
660.752,660.752,-238888
660.752,660.752,-265611
660.752,660.752,-273742
660.752,660.752,-351228
660.752,660.752,-340073
660.752,660.752,-267231
660.752,660.752,-238006
660.752,660.752,-231200
660.752,660.752,-335737
660.752,660.752,-301372
660.752,660.752,-352508
660.752,660.752,-479991
660.752,660.752,-205013
660.752,660.752,-250170
660.752,660.752,-286022
660.752,660.752,-273804
660.752,660.752,-305151
660.752,660.752,-254185
660.752,660.752,-222079
660.752,660.752,-278464
660.752,660.752,-376391
660.752,660.752,-246959
660.752,660.752,-177456
660.752,660.752,-389474
660.752,660.752,-210718
660.752,660.752,-126952
660.752,660.752,-212907
660.752,660.752,-172711
660.752,660.752,-267595
660.752,660.752,-389684
660.752,660.752,-216521
660.752,660.752,-188930
660.752,660.752,-260996
660.752,660.752,-185682
660.752,660.752,-484377
660.752,660.752,-271248
660.752,660.752,-318823
660.752,660.752,-423778
660.752,660.752,-385052
660.752,660.752,-155287
660.752,660.752,-203916
660.752,660.752,-266348
660.752,660.752,-244583
660.752,660.752,-156977
660.752,660.752,-245190
660.752,660.752,-247048
660.752,660.752,-229086
660.752,660.752,-248578
660.752,660.752,-1.92469e+06
660.752,660.752,-211817
660.752,660.752,-197815
660.752,660.752,-392364
660.752,660.752,-359473
