length, sigma, noise
904.942,0.213793,0.000387402
292.907,0.759723,0.000132939
540.474,0.625611,0.000627863
939.363,0.914062,0.000527315
951.094,0.81154,0.000371219
158.09,0.167117,0.000226527
526.011,0.558499,0.000630922
3.4879,0.806741,0.000802114
558.888,0.539275,0.000602847
948.355,0.340038,0.000506215
600.736,0.0893849,9.65371e-05
108.313,0.0718305,0.000905432
191.857,0.370427,0.000299102
38.3621,0.10319,0.000421697
2.45656,0.690235,0.000451924
927.879,0.311715,0.000901686
691.416,0.879161,0.000675822
262.988,0.869046,4.68512e-05
241.992,0.317762,0.000476396
682.275,0.357441,0.000418714
246.226,0.368987,0.000312362
232.242,0.0617442,0.000675877
264.355,0.90493,1.88919e-05
991.846,0.349244,0.000494217
