top_performer, avg_parent, avg_total
-17980.8,-24327.5,-614759
-3614.9,-14734.4,-277170
-3614.9,-10959.6,-1.61085e+06
-3614.9,-4119.21,-214845
-3614.9,-3699.41,-171902
-3614.9,-3663.94,-239384
-3614.9,-3638.32,-284898
-3614.9,-3623.88,-239226
-3614.9,-3617.85,-432251
-3614.9,-3615.45,-543812
-3614.9,-3615.09,-198949
-3614.9,-3614.95,-304772
-2222.5,-3266.82,-322934
-2222.5,-3041.19,-229756
-2222.5,-2646.72,-549044
-2222.5,-2477.87,-182616
-2222.5,-2321.36,-233136
-2222.5,-2290.43,-394482
-2222.5,-2255.94,-371369
-2222.5,-2234.64,-907363
-2222.5,-2231.22,-148478
-2222.5,-2227.57,-511427
-2222.5,-2222.81,-529510
-2222.5,-2222.65,-191164
-2222.5,-2222.58,-312566
-2222.5,-2222.54,-291074
-2222.5,-2222.51,-324726
-2222.5,-2222.5,-223163
-2222.5,-2222.5,-202560
-2222.5,-2222.5,-372841
-2222.5,-2222.5,-204456
-2222.5,-2222.5,-220069
-2222.5,-2222.5,-234604
-2222.5,-2222.5,-281951
-2222.5,-2222.5,-290479
-2222.5,-2222.5,-177502
-2222.5,-2222.5,-254445
-2222.5,-2222.5,-298918
-2222.5,-2222.5,-410293
-2222.5,-2222.5,-208810
-2222.5,-2222.5,-179880
-2222.5,-2222.5,-537178
-231.022,-1724.63,-378048
377.651,-373,-210221
377.651,243.887,-189043
377.651,328.231,-233962
377.651,353.087,-159735
377.651,372.734,-182179
377.651,377.571,-264860
377.651,377.643,-347709
377.651,377.646,-232150
377.651,377.648,-341021
377.651,377.65,-209692
377.651,377.651,-416346
377.651,377.651,-989546
377.651,377.651,-305580
377.651,377.651,-317160
377.651,377.651,-219079
377.651,377.651,-224375
377.651,377.651,-255282
377.651,377.651,-181893
377.651,377.651,-279324
377.651,377.651,-269612
377.651,377.651,-387192
377.651,377.651,-247573
377.651,377.651,-187392
377.651,377.651,-539627
377.651,377.651,-287588
377.651,377.651,-254240
377.651,377.651,-704201
377.651,377.651,-242538
377.651,377.651,-438441
377.651,377.651,-308971
377.651,377.651,-218752
377.651,377.651,-244685
377.651,377.651,-189907
377.651,377.651,-221842
377.651,377.651,-348012
377.651,377.651,-494526
377.651,377.651,-608048
377.651,377.651,-206621
377.651,377.651,-323056
377.651,377.651,-410530
377.651,377.651,-255253
377.651,377.651,-349957
377.651,377.651,-315080
377.651,377.651,-207238
377.651,377.651,-331972
377.651,377.651,-257986
377.651,377.651,-153543
377.651,377.651,-244848
377.651,377.651,-285693
377.651,377.651,-162532
377.651,377.651,-197662
377.651,377.651,-569762
377.651,377.651,-346589
377.651,377.651,-248382
377.651,377.651,-249516
377.651,377.651,-165511
377.651,377.651,-612680
